,S.No,Protein,Fat,vitaminC,Fibre,Product,clusters
0,1,0.45236867700000005,1.170926334,1.079270816,1.702960055,"Amaranth leaves, cooked, boiled, drained, without salt",1
1,2,2.321087199,0.706856257,0.35008840700000005,0.65824859,Bacon and beef sticks,1
2,3,0.884553605,1.186570526,2.42854436,1.984562145,"Apples, frozen, unsweetened, unheated (Includes foods for USDA's Food Distribution Program)",2
3,4,0.7155009240000001,0.57759867,0.270925466,0.36926563,"Alcoholic beverage, beer, light, BUD LIGHT",1
4,5,0.13260968,0.544521342,0.11688385800000001,0.55730939,"Alcoholic beverage, daiquiri, canned",1
5,6,1.267150417,0.234292191,0.5467655060000001,0.38644723799999997,"Alcoholic beverage, liqueur, coffee, 63 proof",1
6,7,0.351557219,0.677176125,0.551181396,1.102798629,"Alcoholic beverage, pina colada, canned",1
7,8,0.635324772,1.223652035,0.330483313,0.6754585820000001,"Alcoholic beverage, tequila sunrise, canned",3
8,9,0.5275884710000001,1.250053267,1.247866813,0.8898961540000001,"Apples, raw, without skin",1
9,10,0.598689617,0.068306575,1.423195336,0.33915776,"Alcoholic beverage, whiskey sour, canned",1
10,11,1.586427763,1.1938239959999999,0.7303943190000001,1.569223037,"Barbecue loaf, pork, beef",3
11,12,0.81364038,0.155945396,1.179511381,1.684527619,"Applesauce, canned, sweetened, without salt",1
12,13,1.100888855,0.076211181,0.263844431,0.104490635,"Alcoholic Beverage, wine, table, red, Cabernet Franc",1
13,14,1.6383779790000002,1.626970483,0.24470366600000001,0.8885531590000001,"Beef, Australian, imported, grass-fed, loin, tenderloin steak/roast, boneless, separable lean and fat, raw",3
14,15,0.595126382,0.139975047,1.470932563,2.57708748,"Apricots, canned, heavy syrup pack, with skin, solids and liquids",2
15,16,1.293180373,0.8234431659999999,0.643088884,1.1087316459999998,"Alcoholic Beverage, wine, table, red, Cabernet Sauvignon",3
16,17,0.770425899,0.937572558,0.68395667,0.985971204,"Alcoholic Beverage, wine, table, red, Claret",3
17,18,1.548508727,0.944614275,2.8003079680000003,1.573358749,"Apricots, canned, heavy syrup, drained",2
18,19,1.6167845490000001,0.78002218,0.867424912,0.129852733,"Beef, Australian, imported, grass-fed, seam fat, raw",1
19,20,0.341877548,0.19180440899999998,1.284544941,0.073284579,"Alcoholic Beverage, wine, table, red, Lemberger",1
20,21,1.6096539669999999,1.664680538,0.20377987600000003,0.740999794,"Beef, brisket, flat half, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",3
21,22,0.963848954,0.9104464109999999,0.628515277,1.65322393,"Apricots, dehydrated (low-moisture), sulfured, uncooked",3
22,23,0.645134431,0.540929137,1.09886068,0.015189093999999998,"Alcoholic Beverage, wine, table, red, Petite Sirah",1
23,24,0.054169519000000006,0.088916395,0.809867962,0.017764135,"Alcoholic beverage, wine, table, white",1
24,25,0.569325139,1.310995515,1.4556481630000002,0.128249835,"Alcoholic beverage, wine, table, white, Chardonnay",1
25,26,1.770087195,1.381362079,1.533523845,0.6819722709999999,"Beef, brisket, flat half, separable lean and fat, trimmed to 0"" fat, select, cooked, braised",3
26,27,0.311911982,0.637335722,0.47757845299999996,1.184148393,"Alcoholic beverage, wine, table, white, Chenin Blanc",1
27,28,0.281020091,0.439829608,0.83455664,0.02501849,"Alcoholic beverage, wine, table, white, Muscat",1
28,29,0.680596223,1.2216874770000001,0.066359138,0.040970375,"Alcoholic beverage, wine, table, white, Pinot Blanc",1
29,30,0.621369318,1.282894198,0.558136106,0.340825018,"Alcoholic beverage, wine, table, white, Riesling",1
30,31,0.910694365,0.09220146900000001,1.0207058409999998,0.345312216,"Alcoholic beverage, wine, table, white, Sauvignon Blanc",1
31,32,0.8216261,0.75586954,0.215344798,0.20322357,"Alcoholic beverage, wine, table, white, Semillon",1
32,33,0.621030242,0.837837748,1.112158562,1.8101324380000001,"Apricots, dried, sulfured, stewed, without added sugar",1
33,34,0.24107679699999998,1.528160854,0.21805298899999997,1.9071064430000002,"Arrowhead, cooked, boiled, drained, without salt",3
34,35,1.5269141609999999,2.7070461910000003,1.111670124,1.313907612,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0"" fat, all grades, raw",3
35,36,0.47629046700000005,0.168964196,1.503771983,1.775007402,"Arugula, raw",2
36,37,0.738987222,0.536107235,0.34274989899999997,0.300562397,"Archway Home Style Cookies, Date Filled Oatmeal",1
37,38,0.42475251,0.60833665,1.109938284,0.39345975299999997,"Archway Home Style Cookies, Iced Molasses",1
38,39,0.224386494,0.40315039799999997,0.863454959,0.6738632109999999,"Archway Home Style Cookies, Iced Oatmeal",1
39,40,2.355021595,1.738506725,1.856617292,2.066603188,"Beef, chuck, short ribs, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, braised",3
40,41,0.110971203,1.077496873,0.5346314999999999,1.873276714,"Asparagus, canned, drained solids",1
41,42,1.7449837330000002,0.747034867,2.334728679,1.529712601,"Asparagus, canned, regular pack, solids and liquids",2
42,43,1.143962832,0.760458192,0.632601658,0.49262261399999996,"Archway Home Style Cookies, Molasses",1
43,44,1.62684132,0.7089717879999999,0.8110417129999999,0.046274639000000006,"Archway Home Style Cookies, Raspberry Filled",1
44,45,0.1697527,1.239610618,0.962671268,1.0375504690000001,"Artificial Blueberry Muffin Mix, dry",1
45,46,0.441327791,2.255136961,0.032091829,0.615214031,"Beef, chuck, top blade, separable lean only, trimmed to 0"" fat, select, cooked, broiled",3
46,47,0.9274169720000001,1.128551155,0.63165913,0.33634314,"Bagels, oat bran",3
47,48,1.96825417,2.02169778,1.9397000530000001,0.47741675,"Beef, flank, steak, separable lean and fat, trimmed to 0"" fat, all grades, raw",3
48,49,1.238637457,0.299298081,0.885491765,0.19293928600000002,"Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame)",1
49,50,1.295054452,1.482174206,1.106210237,0.268502876,"Beef, ground, 90% lean meat / 10% fat, patty, cooked, broiled",3
50,51,1.063162936,0.753131949,0.11978848800000001,0.8920025229999999,"Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame), toasted",1
51,52,0.307820916,0.106887349,2.248123947,1.323397173,"Asparagus, cooked, boiled, drained",2
52,53,0.685300482,0.472023646,2.045998779,0.7534853220000001,"Asparagus, frozen, cooked, boiled, drained, without salt",1
53,54,2.936054635,1.636734005,0.123569797,1.9174445740000001,"Beef, loin, bottom sirloin butt, tri-tip roast, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",3
54,55,1.28571137,1.7728780309999999,0.9793547159999999,1.272883483,"Beef, loin, top loin, separable lean and fat, trimmed to 1/8"" fat, select, raw",3
55,56,0.247296673,0.7991058059999999,0.927095007,0.640989479,"Beverages, almond milk, chocolate, ready-to-drink",1
56,57,0.06699630200000001,0.045011799000000005,0.7575852740000001,0.347912351,"Beverages, almond milk, sweetened, vanilla flavor, ready-to-drink",1
57,58,0.379056113,0.15922695,0.8810645840000001,1.538511554,"Balsam-pear (bitter gourd), pods, raw",1
58,59,0.440887971,0.276835321,1.74377976,0.7854661409999999,"Bamboo shoots, raw",1
59,60,0.059802715,2.47127992,0.980311203,0.288237636,"Beef, loin, top sirloin petite roast, boneless, separable lean only, trimmed to 0"" fat, select, cooked, roasted",3
60,61,0.373622247,0.6517833120000001,0.672332872,1.510542153,"Beverages, carbonated, club soda",1
61,62,0.9867126979999999,0.164900036,0.207293415,0.599127854,"Beverages, carbonated, low calorie, cola or pepper-type, with aspartame, contains caffeine",1
62,63,0.615646735,0.425238436,1.1497718609999998,0.705107645,"Beverages, carbonated, low calorie, other than cola or pepper, with aspartame, contains caffeine",1
63,64,0.036759777,0.065042335,0.828780265,2.179897255,Barley flour or meal,1
64,65,0.549614751,0.789747509,0.013462752,0.159164613,"Beverages, carbonated, reduced sugar, cola, contains caffeine and sweeteners",1
65,66,1.5929369230000001,1.0112440759999999,0.8175895129999999,1.697775448,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",3
66,67,0.08302104,0.5493015960000001,0.412350547,0.377073304,"Beverages, chocolate powder, no sugar added",1
67,68,0.49706762600000004,2.18050346,0.823689847,0.8359076320000001,"Beef, ribeye  petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, select, raw",3
68,69,1.3839834130000002,1.796402475,0.516644687,0.33592512399999996,"Beef, ribeye cap steak, boneless, separable lean only, trimmed to 0"" fat, choice, raw",3
69,70,0.691815886,0.020799636,1.163958751,0.45543247600000003,"Beverages, coffee substitute, cereal grain beverage, prepared with water",1
70,71,1.379465758,0.32783062399999996,0.596850409,0.662286356,"Beverages, coffee, instant, decaffeinated, powder",1
71,72,2.021181655,0.17030841600000002,0.11694427199999999,0.328530043,"Beverages, cranberry-apricot juice drink, bottled",1
72,73,2.353174569,1.5278061969999999,0.951881383,1.761611913,"Beef, round, top round steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",3
73,74,0.584401031,0.528249442,1.853911215,0.827864064,"Beans, adzuki, mature seeds, raw",1
74,75,1.0969900890000002,0.8442077029999999,0.595007144,1.1206545,"Beverages, cranberry-grape juice drink, bottled",3
75,76,0.820057677,0.302817903,0.65472948,0.48832869100000004,"Beverages, Energy drink, AMP, sugar free",1
76,77,1.0560320140000001,1.1216192520000001,0.9468223090000001,1.347556026,"Beans, baked, canned, with pork",3
77,78,1.1483185759999999,0.395817126,0.049488761,0.918477564,"Beverages, Energy drink, ROCKSTAR, sugar free",1
78,79,0.488031392,0.361077893,1.633036295,1.187671121,"Beans, black turtle, mature seeds, canned",1
79,80,0.38918356299999995,1.002192421,0.891441633,0.094100459,"Beverages, Meal supplement drink, canned, peanut flavor",1
80,81,1.848506749,0.6967451159999999,1.035883098,0.900178915,"Beef, round, top round steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",3
81,82,0.43252559999999995,0.039670565,0.730150313,0.460317756,"Beverages, Orange drink, breakfast type, with juice and pulp, frozen concentrate",1
82,83,0.25499199100000003,0.31630993399999996,0.347122618,0.167903375,"Beverages, Propel Zero, fruit-flavored, non-carbonated",1
83,84,0.750452573,0.60705842,0.07416019,2.061246249,"Beverages, Protein powder soy based",1
84,85,0.315769402,0.39989178299999995,1.53273332,1.519517529,"Beans, black turtle, mature seeds, cooked, boiled, without salt",1
85,86,0.855526415,1.590171931,0.551648126,1.622144966,"Beef, round, top round, separable lean and fat, trimmed to 1/8"" fat, select, cooked, braised",3
86,87,1.663890934,1.997800899,0.19248157,0.7553153490000001,"Beef, round, top round, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",3
87,88,0.783840676,0.226471444,0.86270352,0.303777407,"Beverages, tea, instant, unsweetened, powder",1
88,89,0.676536575,0.7678571829999999,0.511375809,0.059318358,"Beverages, The COCA-COLA company, Hi-C Flashin' Fruit Punch",1
89,90,2.133809356,0.5281279489999999,1.5599466919999998,1.573714735,"Beans, black, mature seeds, raw",3
90,91,0.666228309,0.28956678399999997,0.7329758390000001,1.8927862009999998,"Beans, kidney, mature seeds, sprouted, raw",1
91,92,0.26976552800000003,0.041976890999999995,0.343938397,0.22863767399999999,"Beverages, THE COCA-COLA COMPANY, NOS energy drink, Original, grape, loaded cherry, charged citrus, fortified with vitamins B6 and B12",1
92,93,0.739047958,1.217862573,2.239091263,1.036629628,"Beans, pink, mature seeds, raw",2
93,94,1.196369478,0.511790353,0.8563799740000001,0.8539913690000001,"Beverages, UNILEVER, SLIMFAST, meal replacement, regular, ready-to-drink,  3-2-1 Plan",1
