candidate,sentiment,sentiment_confidence,subject_matter,retweet_count,text
Scott Walker,Positive,0.6333,None of the above,26,RT @ScottWalker: Didn't catch the full #GOPdebate last night. Here are some of Scott's best lines in 90 seconds. #Walker16 http://t.co/ZSfF…
No candidate mentioned,Positive,1,None of the above,138,RT @RobGeorge: That Carly Fiorina is trending -- hours after HER debate -- above any of the men in just-completed #GOPdebate says she's on …
Donald Trump,Positive,0.7045,None of the above,156,RT @DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 http://t.co…
Ted Cruz,Positive,0.6332,None of the above,228,"RT @GregAbbott_TX: @TedCruz: ""On my first day I will rescind every illegal executive action taken by Barack Obama."" #GOPDebate @FoxNews"
No candidate mentioned,Negative,0.6761,FOX News or Moderators,17,RT @warriorwoman91: I liked her and was happy when I heard she was going to be the moderator. Not anymore. #GOPDebate @megynkelly  https://…
Ben Carson,Negative,0.6889,None of the above,0,"Deer in the headlights RT @lizzwinstead: Ben Carson, may be the only brain surgeon who has performed a lobotomy on himself. #GOPDebate"
No candidate mentioned,Negative,0.6778,None of the above,1,RT @NancyOsborne180: Last night's debate proved it! #GOPDebate #BATsAsk @BadassTeachersA #TBATs  https://t.co/G2gGjY1bJD
Donald Trump,Negative,1,None of the above,0,@JGreenDC @realDonaldTrump In all fairness #BillClinton owns that phrase.#GOPDebate
Mike Huckabee,Positive,1,Foreign Policy,188,"RT @WayneDupreeShow: Just woke up to tweet this out #GOPDebate 

Best line of the night via @GovMikeHuckabee http://t.co/6OV5hxHIcV"
No candidate mentioned,Negative,0.6957,None of the above,0,Me reading my family's comments about how great the #GOPDebate was http://t.co/gIaGjPygXZ
Scott Walker,Positive,1,None of the above,215,RT @pattonoswalt: I loved Scott Walker as Mark Harmon's romantic rival in SUMMER SCHOOL. Look it up. #GOPDebate
Chris Christie,Negative,1,None of the above,0,Hey @ChrisChristie exploiting the tragedy of 9/11 for your own political gain is @rudygiulianiGOP's thing #GOPDebate
Donald Trump,Negative,0.6264,Women's Issues (not abortion though),45,RT @CarolCNN: #DonaldTrump under fire for comments about women @PeterBeinart @SL_Schaeffer @IWF @@MyRkiger weigh in on #GOPdebate http://t.…
Donald Trump,Negative,0.6629,FOX News or Moderators,7,RT @johncardillo: Guess who had most speaking time at the #GOPDebate. @FoxNews moderators with 31.7% of time. http://t.co/2WSUT0c0Lx
No candidate mentioned,Negative,1,None of the above,0,reason comment is funny 'in case you're ignorant' is the #gop #tcot are the reason the government isn't working for the people #gopdebate
Mike Huckabee,Negative,0.6669,LGBT issues,93,"RT @PamelaGeller: Huckabee: Paying for transgender surgery for soldiers, sailors and airmen does not make our country safer #Ha #GOPDebate"
Ted Cruz,Positive,1,None of the above,6,"RT @ChuckNellis: Cruz has class &amp; truth, that gets my vote! #GOPDebate"
Donald Trump,Negative,0.3511,None of the above,2,RT @mchamric: RT “@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/nwGx8G8JWr”
No candidate mentioned,Negative,1,None of the above,404,RT @erinmallorylong: No *I* hate Planned Parenthood and women more! NO I HATE PLANNED PARENTHOOD AND WOMEN MORE!!!!! #GOPDebate
No candidate mentioned,Negative,0.6989,FOX News or Moderators,93,RT @MrPooni: Fox News trying to convince us young Black Americans are more worried about ISIS than police terrorism #GOPDebate http://t.co/…
Marco Rubio,Negative,1,None of the above,0,"#GOPDebate rankings: worst to be performance - Rubio, Kasich, Christie, Bush, Trump, Cruz, Walker, Paul, Huckabee, Carson."
Scott Walker,Negative,1,Abortion,19,RT @TheBaxterBean: Scott Walker's Abortion Ban Allows Rapist Father To Sue For Emotional Distress http://t.co/rHMvgumuir #GOPDebate @Badger…
No candidate mentioned,Negative,0.3401,,156,"RT @feministabulous: It's not a competition, but how have we moved so far on gay rights but women's rights is worse than it's ever been? #G…"
Donald Trump,Negative,1,None of the above,2,RT @mch7576: RT “@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/pRy2QPCWfu””
No candidate mentioned,Negative,0.3295,None of the above,4965,RT @HillaryClinton: Watch the #GOPdebate? Bet you feel like donating to a Democrat right about now. http://t.co/pGlQCqQgOP http://t.co/QP1e…
No candidate mentioned,Negative,1,None of the above,0,@fbhw they're going to need to borrow the train horn for the next #GOPDebate ! The little bell was wimpy! #hornmeansyouredone
Ted Cruz,Negative,0.6458,None of the above,14,RT @LisaVikingstad: Ted Cruz at the #GOPDebate will be like Ted Cruz in bed. He will keep a confusingly sad look on his face and refuse to …
No candidate mentioned,Negative,0.6576,FOX News or Moderators,0,RT WinesdayPodcast : An update on FoxNews tech failures for the #GOPDebate http://t.co/FGGlf2J5HU http://t.co/Zw35DkUozi
No candidate mentioned,Negative,0.6393,FOX News or Moderators,216,"RT @AmyMek: The Torched has been passed -&gt;.@CandyCrowley is no longer the most Famous Political Assassin! Congratulations @megynkelly, U Wi…"
Jeb Bush,Negative,1,None of the above,3427,"RT @kvxrdashian: Jeb Bush: ""Obama is at fault, not my brother, because Obama didn't clean up the mess my brother made."" #GOPDebate http://t…"
No candidate mentioned,Negative,1,None of the above,3,"RT @ali: After the Fox News #GOPDebate, we primary voters are none the wiser on the policy plans these folks are putting forth. Journalism …"
Donald Trump,Negative,0.6559,None of the above,4,RT @mgell: Trump is a cross between the shrug emoji and President Business from the Lego movie. #GOPDebate
No candidate mentioned,Negative,0.6596,None of the above,4006,"RT @JamelleMyBelle: Meanwhile, in the White House...  #GOPDebate http://t.co/nouUUt5hKq"
No candidate mentioned,Negative,0.6869,Racial issues,450,RT @brownblaze: PLEASE RT. #KKKorGOP #GOPDebate http://t.co/YaqYAC3uV3
Donald Trump,Negative,1,Women's Issues (not abortion though),0,"Trump thinks criticism of his misogynistic remarks is a ""political correctness"" problem. Nope, it's a pervasive #sexism problem. #GOPDebate"
No candidate mentioned,Negative,0.6591,Racial issues,4416,"RT @LeKarmaSucre: How the #GOPDebate handled #BlackLivesMatter 

http://t.co/8ZGdY6lPCT"
Donald Trump,Positive,0.6353,FOX News or Moderators,0,“@DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 Fox say thanks
Mike Huckabee,Negative,0.6458,None of the above,0,"RT @gov: Most-Tweeted @GovMikeHuckabee #GOPDebate moment: saying purpose of military ""to kill people/break things"" re trans servicemembers"
